Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,46.113265,46.113265,46.113265,458.617381,458.617381,458.617381,894.597341,458.617381,4078.770456,4078.770456,4146.452588,4474.785907,4556.479397,4556.479397,
ELECCOST,3739.487628,4487.385153,5983.180204,6441.190376,6476.196846,6483.198140,6108.679523,6511.203315,3227.882419,3292.440068,3474.890361,3842.938644,4150.699725,5534.266300,
CAPEX,506.268439,506.268439,506.268439,506.268439,506.268439,506.268439,506.268439,506.268439,516.538210,516.538210,521.987491,553.582971,580.472084,580.472084,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,4078.770456,46.113265,46.113265,46.113265,46.113265,46.113265,
ELECCOST,3739.487628,4487.385153,5983.180204,6880.657235,6918.052111,6925.531086,6992.841864,6955.446988,3227.882419,7628.554760,8226.872781,10096.616595,11218.462883,14957.950511,
CAPEX,530.360659,506.268439,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,516.538210,530.360659,530.360659,530.360659,530.360659,530.360659,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,4078.770456,4078.770456,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,
ELECCOST,3227.882419,3227.882419,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,
CAPEX,516.538210,516.538210,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,4078.770456,4078.770456,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,
ELECCOST,3227.882419,3227.882419,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,
CAPEX,516.538210,516.538210,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,4078.770456,4078.770456,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,46.113265,
ELECCOST,3227.882419,3227.882419,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,7478.975255,
CAPEX,516.538210,516.538210,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,530.360659,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,8443.743692,8443.743692,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,
ELECCOST,-4620.218985,-4620.218985,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,
CAPEX,264.524869,264.524869,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,731.394952,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,8443.743692,8443.743692,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,
ELECCOST,-4620.218985,-4620.218985,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,
CAPEX,283.738967,283.738967,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,8443.743692,8443.743692,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,
ELECCOST,-4620.218985,-4620.218985,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,
CAPEX,283.738967,283.738967,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,
Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,8443.743692,8443.743692,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,6290.282580,
ELECCOST,-4620.218985,-4620.218985,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,3124.271541,
CAPEX,283.738967,283.738967,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,750.609049,
