EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.250767,0.250767,0.250767,2.493992,2.493992,2.493992,4.864880,2.493992,22.180625,22.180625,22.548685,24.334183,24.778438,24.778438,
HPHIGH,-0.929881,-0.929881,-0.929881,-0.180472,-0.180472,-0.180472,-0.180472,-0.180472,-0.162138,-0.162138,-0.152410,-0.096005,-0.048003,-0.048003,
HPLOW,-6.453323,-6.453323,-6.453323,-6.261415,-6.261415,-6.261415,-5.512658,-6.261415,-0.810305,-0.810305,-0.693416,-0.131178,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,22.180625,0.250767,0.250767,0.250767,0.250767,0.250767,
HPHIGH,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.162138,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,
HPLOW,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-0.810305,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,22.180625,22.180625,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,
HPHIGH,-0.162138,-0.162138,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,
HPLOW,-0.810305,-0.810305,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,22.180625,22.180625,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,
HPHIGH,-0.162138,-0.162138,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,
HPLOW,-0.810305,-0.810305,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,22.180625,22.180625,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,0.250767,
HPHIGH,-0.162138,-0.162138,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,-0.929881,
HPLOW,-0.810305,-0.810305,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,-6.453323,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,0.000000,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,81.631359,81.631359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,0.000000,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,-0.974834,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,81.631359,81.631359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000000,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,22.873755,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
