Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,6079.200000,6079.200000,6079.200000,6079.200000,6079.200000,6079.200000,6079.200000,6079.200000,6945.991158,6945.991158,7405.922340,10072.650000,12342.150000,12342.150000,
HPHIGH,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,7665.658842,7665.658842,7205.727660,4539.000000,2269.500000,2269.500000,
HPLOW,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,10388.350000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,8097.025000,6079.200000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,6945.991158,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,
HPHIGH,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,7665.658842,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,
HPLOW,8370.525000,10388.350000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,10388.350000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,6945.991158,6945.991158,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,
HPHIGH,7665.658842,7665.658842,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,
HPLOW,10388.350000,10388.350000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,6945.991158,6945.991158,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,
HPHIGH,7665.658842,7665.658842,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,
HPLOW,10388.350000,10388.350000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,6945.991158,6945.991158,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,8097.025000,
HPHIGH,7665.658842,7665.658842,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,8532.450000,
HPLOW,10388.350000,10388.350000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,25000.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
