EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.334356,0.334356,0.334356,3.325322,3.325322,3.325322,6.486506,3.325322,29.574166,29.574166,30.064913,32.445578,33.037917,33.037917,
HPHIGH,2.728931,2.728931,2.728931,0.469285,0.469285,0.469285,0.469285,0.469285,0.421611,0.421611,0.396315,0.249645,0.124822,0.124822,
HPLOW,30.099452,30.099452,30.099452,29.368132,29.368132,29.368132,26.206948,29.368132,3.166962,3.166962,2.701512,0.467517,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,29.574166,0.334356,0.334356,0.334356,0.334356,0.334356,
HPHIGH,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,0.421611,2.728931,2.728931,2.728931,2.728931,2.728931,
HPLOW,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,3.166962,30.099452,30.099452,30.099452,30.099452,30.099452,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,29.574166,29.574166,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,
HPHIGH,0.421611,0.421611,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,
HPLOW,3.166962,3.166962,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,29.574166,29.574166,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,
HPHIGH,0.421611,0.421611,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,
HPLOW,3.166962,3.166962,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,29.574166,29.574166,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,0.334356,
HPHIGH,0.421611,0.421611,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,2.728931,
HPLOW,3.166962,3.166962,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,30.099452,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
TURBINE1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,0.000000,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,3.065694,
HPLOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,33.162740,33.162740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,30.097046,
