Utility_Capacity[kW], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,8097.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,8532.450000,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,8098.781711,
HPLOW,8370.525000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,0.000000,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,7554.012660,
SOLAR,3500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,14611.650000,
end;
Utility_Capacity[kW], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,6079.200000,12909.683706,12909.683706,12909.683706,12909.683706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,10550.275000,4887.366294,4887.366294,4887.366294,4887.366294,5139.200000,5139.200000,5139.200000,5139.200000,5139.200000,5139.200000,5139.200000,5139.200000,
HPLOW,8370.525000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,0.000000,0.000000,0.000000,0.000000,0.000000,12657.850000,12657.850000,12657.850000,12657.850000,12657.850000,12657.850000,12657.850000,12657.850000,
SOLAR,3500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,6079.200000,13000.000000,13000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,10550.275000,12000.000000,12000.000000,7235.775000,7235.775000,7235.775000,7235.775000,7235.775000,7235.775000,7235.775000,7235.775000,7235.775000,7235.775000,
HPLOW,8370.525000,0.000000,0.000000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,7202.950000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,0.000000,0.000000,0.000000,10561.275000,10561.275000,10561.275000,10561.275000,10561.275000,10561.275000,10561.275000,10561.275000,10561.275000,10561.275000,
SOLAR,3500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
Utility_Capacity[kW], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
